code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Antidiabetic""	""group""	""database""",
"""1450941000033113""",UNKNOWN,true,"""Tolbutamide 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Tolbutamide""	""500.000mg""	""Tolbutamide""	""Sulfonylureas""	""Aurum""",
"""1480541000033110""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1480641000033111""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.36 mm/28g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1480741000033119""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.4 mm/27g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1480841000033112""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1480941000033116""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1481041000033114""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1481141000033113""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.4mm/27gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1481241000033118""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.5 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1481341000033111""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with needle  0.36 x 13 mm/28g ref no443723113""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1490141000033119""",UNKNOWN,true,"""Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1507441000033119""",UNKNOWN,true,"""Human Velosulin  Injection  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1508341000033112""",UNKNOWN,true,"""Pork Velosulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1508441000033118""",UNKNOWN,true,"""Velosulin Cartridge (Nordisk Wellcome)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1577541000033112""",UNKNOWN,true,"""BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1602941000033117""",UNKNOWN,true,"""Diaglyk 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	""Gliclazide""	""Sulfonylureas""	""Aurum""",
"""1615941000033113""",UNKNOWN,true,"""Humulin I 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1616041000033115""",UNKNOWN,true,"""Humulin S 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1616141000033116""",UNKNOWN,true,"""Humulin M1  Cartridges (3 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1616241000033111""",UNKNOWN,true,"""Humulin M2 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1616341000033118""",UNKNOWN,true,"""Humulin M3 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1616441000033112""",UNKNOWN,true,"""Humulin M4  Cartridges (3 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1620641000033115""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1621141000033118""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Penfill Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1621241000033113""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Penfill cartridges (3 ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1621341000033115""",UNKNOWN,true,"""Isophane Insulin (Human Pyr)  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1659941000033116""",UNKNOWN,true,"""NovoNorm 500microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""500.000microgram""	""Repaglinide""	""Other""	""Aurum""",
"""1660041000033118""",UNKNOWN,true,"""NovoNorm 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""1.000mg""	""Repaglinide""	""Other""	""Aurum""",
"""1660141000033119""",UNKNOWN,true,"""NovoNorm 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""2.000mg""	""Repaglinide""	""Other""	""Aurum""",
"""1672741000033112""",UNKNOWN,true,"""Repaglinide 1mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""1.000mg""	""Repaglinide""	""Other""	""Aurum""",
"""1672841000033119""",UNKNOWN,true,"""Repaglinide 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""2.000mg""	""Repaglinide""	""Other""	""Aurum""",
"""1672941000033110""",UNKNOWN,true,"""Repaglinide 500microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Repaglinide""	""500.000microgram""	""Repaglinide""	""Other""	""Aurum""",
"""1703341000033115""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1703441000033114""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1703541000033110""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1703641000033111""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1703741000033119""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  1 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1703841000033112""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1714041000033116""",UNKNOWN,true,"""Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1717041000033114""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1717141000033113""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1717341000033111""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1717441000033117""",UNKNOWN,true,"""BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12.7mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1736841000033114""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1736941000033118""",UNKNOWN,true,"""Humalog Mix25 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1737041000033117""",UNKNOWN,true,"""Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""25.000unit/1.000ml + 25.000unit/1.000ml + 75.000unit/1.000ml + 75.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1739941000033110""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1749441000033116""",UNKNOWN,true,"""Pork Actrapid 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1818141000033110""",UNKNOWN,true,"""Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""90.000unit/1.000ml + 90.000unit/1.000ml + 10.000unit/1.000ml + 10.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1818241000033115""",UNKNOWN,true,"""Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""80.000unit/1.000ml + 80.000unit/1.000ml + 20.000unit/1.000ml + 20.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1818341000033113""",UNKNOWN,true,"""Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1818441000033119""",UNKNOWN,true,"""Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""60.000unit/1.000ml + 60.000unit/1.000ml + 40.000unit/1.000ml + 40.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1818541000033118""",UNKNOWN,true,"""Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1821441000033116""",UNKNOWN,true,"""Insulin isophane porcine 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1821541000033115""",UNKNOWN,true,"""Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1821641000033119""",UNKNOWN,true,"""Insulin isophane bovine 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1821741000033111""",UNKNOWN,true,"""Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1821841000033118""",UNKNOWN,true,"""Bd-Microfine +  Needles for insulin pens  5 mm/31 gauge""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1844541000033119""",UNKNOWN,true,"""BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1861941000033119""",UNKNOWN,true,"""Insulin aspart 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1862041000033113""",UNKNOWN,true,"""Insulin aspart 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1862141000033112""",UNKNOWN,true,"""Insulin Aspart  Prefilled syringes  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1862241000033117""",UNKNOWN,true,"""NovoRapid 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1862341000033110""",UNKNOWN,true,"""NovoRapid Penfill 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1862441000033116""",UNKNOWN,true,"""NovoRapid Novolet 100units/ml solution for injection""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""1906641000033110""",UNKNOWN,true,"""Disposable  Insulin syringe with needle  0.3 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1923241000033113""",UNKNOWN,true,"""NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1923341000033115""",UNKNOWN,true,"""NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1923441000033114""",UNKNOWN,true,"""NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""1923541000033110""",UNKNOWN,true,"""NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2011641000033110""",UNKNOWN,true,"""Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2011741000033118""",UNKNOWN,true,"""Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2016741000033113""",UNKNOWN,true,"""Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2016841000033115""",UNKNOWN,true,"""Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 2 unit dial up / range 2-32 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2016941000033111""",UNKNOWN,true,"""Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2017041000033112""",UNKNOWN,true,"""NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2017141000033111""",UNKNOWN,true,"""NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2017241000033116""",UNKNOWN,true,"""NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2018841000033116""",UNKNOWN,true,"""Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2018941000033112""",UNKNOWN,true,"""Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2034441000033116""",UNKNOWN,true,"""Insuman Rapid 100units/ml solution for injection 5ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2034641000033119""",UNKNOWN,true,"""Insuman Rapid 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2035241000033118""",UNKNOWN,true,"""Insuman Basal 100units/ml suspension for injection 5ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2035441000033117""",UNKNOWN,true,"""Insuman Basal 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2035541000033116""",UNKNOWN,true,"""Insuman Comb 25 100units/ml suspension for injection 5ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2035641000033115""",UNKNOWN,true,"""Insuman Comb 25 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""75.000unit/1.000ml + 75.000unit/1.000ml + 25.000unit/1.000ml + 25.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""2052341000033117""",UNKNOWN,true,"""Optipen Pro 1 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""2088441000033116""",UNKNOWN,true,"""NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
